root,group,run,status,n_rescored
experiments,00B_c30_a1p00_b1p41,20260514-093551_p64_i2500,rescored,8.0
experiments,00B_c30_a1p00_b1p41,20260514-100523_p64_i2500,rescored,8.0
experiments,00B_c30_a1p41_b1p41,20260614-134123_p64_i2500,rescored,8.0
experiments,00B_c30_a1p41_b1p41,20260614-142849_p64_i2500,rescored,8.0
experiments,00B_c30_a2p73_b1p41,20260616-165402_p64_i2500,rescored,8.0
experiments,00B_c30_a2p73_b1p41,20260616-171728_p64_i2500,rescored,8.0
experiments,0_c30_a1p00_b1p41,20260226-122845_p64_i2500,rescored,8.0
experiments,0_c30_a1p00_b1p41,20260226-125913_p64_i2500,rescored,8.0
experiments,B30B_c30_a1p41_b1p41,20260226-012750_p64_i2500,rescored,8.0
experiments,B30B_c30_a1p41_b1p41,20260226-015926_p64_i2500,rescored,8.0
experiments,B30_c30_a1p00_b1p41,20260221-175753_p64_i2500,rescored,8.0
experiments,B30_c30_a1p00_b1p41,20260221-182208_p64_i2500,rescored,8.0
experiments,B30_c30_a1p41_b1p41,20260224-095158_p64_i2500,rescored,8.0
experiments,B30_c30_a1p41_b1p41,20260224-103500_p64_i2500,rescored,8.0
output_old/experiments,00B_c30_a1p00_b1p41,20260514-093551_p64_i2500,rescored,8.0
output_old/experiments,00B_c30_a1p00_b1p41,20260514-100523_p64_i2500,rescored,8.0
output_old/experiments,00B_c30_a1p41_b1p41,20260529-081634_p64_i2500,rescored,8.0
output_old/experiments,00B_c30_a1p41_b1p41,20260529-084722_p64_i2500,rescored,8.0
output_old/experiments,00B_c30_a2p73_b1p41,20260529-081916_p64_i2500,rescored,8.0
output_old/experiments,00B_c30_a2p73_b1p41,20260529-085205_p64_i2500,rescored,8.0
output_old/experiments,0_c30_a1p00_b1p41,20260226-122845_p64_i2500,rescored,8.0
output_old/experiments,0_c30_a1p00_b1p41,20260226-125913_p64_i2500,rescored,8.0
output_old/experiments,B30B_c30_a1p41_b1p41,20260226-012750_p64_i2500,rescored,8.0
output_old/experiments,B30B_c30_a1p41_b1p41,20260226-015926_p64_i2500,rescored,8.0
output_old/experiments,B30_c30_a1p00_b1p41,20260221-175753_p64_i2500,rescored,8.0
output_old/experiments,B30_c30_a1p00_b1p41,20260221-182208_p64_i2500,rescored,8.0
output_old/experiments,B30_c30_a1p41_b1p41,20260224-095158_p64_i2500,rescored,8.0
output_old/experiments,B30_c30_a1p41_b1p41,20260224-103500_p64_i2500,rescored,8.0
output_oldold/experiments,00B_c30_a1p00_b1p41,20260514-093551_p64_i2500,rescored,8.0
output_oldold/experiments,00B_c30_a1p00_b1p41,20260514-100523_p64_i2500,rescored,8.0
output_oldold/experiments,00B_c30_a1p41_b1p41,20260614-134123_p64_i2500,rescored,8.0
output_oldold/experiments,00B_c30_a1p41_b1p41,20260614-142849_p64_i2500,rescored,8.0
output_oldold/experiments,00B_c30_a2p73_b1p41,20260628-092342_p32_i2500,unloadable,
output_oldold/experiments,00B_c30_a2p73_b1p41,20260628-094401_p32_i2500,unloadable,
output_oldold/experiments,0_c30_a1p00_b1p41,20260226-122845_p64_i2500,rescored,8.0
output_oldold/experiments,0_c30_a1p00_b1p41,20260226-125913_p64_i2500,rescored,8.0
output_oldold/experiments,B30B_c30_a1p41_b1p41,20260226-012750_p64_i2500,rescored,8.0
output_oldold/experiments,B30B_c30_a1p41_b1p41,20260226-015926_p64_i2500,rescored,8.0
output_oldold/experiments,B30_c30_a1p00_b1p41,20260221-175753_p64_i2500,rescored,8.0
output_oldold/experiments,B30_c30_a1p00_b1p41,20260221-182208_p64_i2500,rescored,8.0
output_oldold/experiments,B30_c30_a1p41_b1p41,20260224-095158_p64_i2500,rescored,8.0
output_oldold/experiments,B30_c30_a1p41_b1p41,20260224-103500_p64_i2500,rescored,8.0
